;meta[language=en]
; id      |key(hex)|key(str)| text
   1092299|c1c15e8d||Thank you card
   1092300|ec388dc7||Present from a grateful young girl.
   1103843|c5784d99||School of the Cat Medallion
   1082374|858ee592||Item needed to complete a quest.
   1092302|aa5b822c||Letter to Gaetan
   1071244|256561ab||Read for additional information.
   1092303|bd0bf760||Gaetan,<br><br>It's over. Soldiers have taken the school. They killed Axel and Cedric. As for Schrödinger, well, I can't say for sure - might be alive, might be dead. Bounties have been put on your head and mine. Avoid cities and the high roads. Don't attract any attention.<br><br>-Joël
   1090229|85df3483||Contract: the Beast of Honorton
   1058789|7610151a||Notice found on a notice board.
   1090231|ee7d2369||Good Folk!<br><br>There's a vile and dangerous spook, beast or devil of sorts causing no end of trouble near our village, Honorton. We promise our profoundest gratitude - and a sizeable reward - to any brave lad who can slay it.<br><br>If you're looking to learn more, come pay us a visit. Ask for the ealdorman, Sobemir.
   1091114|6c0ea73c||Doll
   1095340|0fb9fb48||Teigr
   1083687|0cd9e187||Steel sword. Used when fighting humans.
   1138188|382945e1||Quest: Where the Cat and Wolf Play…
   1138211|bd35f62f||Explore a forgotten village and discover its terrifying secret. Find out who or what slaughtered its inhabitants and use all your witcher skills to confront this mysterious force.
   1088809|00000000||Fifty crowns.
   1090064|00000000||Fifty.
   1090060|00000000||Not in the mood for riddles.
   1090066|00000000||Not in the mood for guessing games.
   1090068|00000000||Hah. Knew you were no fun the minute I saw you…
   1090085|00000000||How'd you survive that?
   1090091|00000000||How the hell did you survive that? Pitchfork wounds're bad - know that all too well.
   1090093|00000000||I turned at the last instant. Prongs went in shallow, at an angle. Missed my lungs.
   1090108|00000000||Not my job to judge you.
   1090157|00000000||Ultimately, it's not my job to judge you.
   1088871|00000000||That's it? Not gonna lecture me? Make me promise to mend my ways?
   1088875|00000000||They call me the Butcher of Blaviken. For good reason. I know how it is. Sometimes… sometimes heads just roll.
   1090133|00000000||Wait.
   1090135|00000000||I'm no cheap prick like those hayseeds. I owe you something. Here, directions to my stash. Take what you want.
   1090137|00000000||Thanks.
   1090139|00000000||No, thank you. Good luck on the Path, wolf.
   1090154|00000000||Take care, now.
   1090119|00000000||Godspeed.
   1091227|00000000||You need to die.
   1091242|00000000||You won't leave here alive. Not after what you did.
   1091244|00000000||Uhh… don't I even get a chance to explain?
   1091246|00000000||This isn't a trial. Stand up.
   1091254|00000000||Fine. Drink.
   1091256|00000000||Hah, much appreciated. Behold, a witcher with honor…
   1091260|00000000||And no brains.
   1091251|00000000||Fine. Drink.
   1091262|00000000||From what I saw, uneven odds're what you like.
   1091264|00000000||Yeah. But only when they're in my favor.
   1091266|00000000||Sorry, not this time. Draw your sword.
   1091252|00000000||No chance.
   1091248|00000000||Hm, awful chivalrous. A regular defender of the downtrodden… so, mind if I have a dose of Swallow?
   1091250|00000000||C'mon, I'm injured. It'll even the odds a bit.
